TA,PtP Name,City (Reev),Address,ZipCode,Total Acquisition
MICHALOPOULOS DIMITRIS,ΠΑΥΛΟΠΟΥΛΟΣ ΝΙΚ. ΚΩΝ/ΝΟΣ,Athina,2 Spirou Merkouri,116 34,=VLOOKUP(B21;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΖΥΚΟ ΣΠΥΡΟ & ΣΙΑ ΕΤΕΡΟΡΥΘΜΗ ΕΤΑΙΡΕΙΑ,Vironas,1 Chimarra,162 32,=VLOOKUP(B22;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΝΙΚΟΛΗΣ ΘΑΝ. ΔΙΟΝΥΣΗΣ - OSA ΓΚΥΖΗ,Athina,41 Prigkiponnison,114 76,5
MICHALOPOULOS DIMITRIS,ΨΥΧΙΑΣ ΣΠΥΡΙΔΩΝ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΥΠ/ΜΑ 01),Athina,2 Nikolaou Gkizi,114 75,=VLOOKUP(B24;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,DOLLS ( ΠΑΠΑΔΟΠΟΥΛΟΣ Ν ΓΕΩΡΓΙΟΣ ),Galatsi,84 Leoforos Galatsiou,111 46,=VLOOKUP(B25;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,NIKOLIS STORE EE (OSA ΠΑΓΚΡΑΤΙ),Athina,145 Filolaou,116 32,=VLOOKUP(B26;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,Π.ΝΤΟΥΝΙΑΣ & ΣΙΑ Ε.Ε (my kiosk),Athina,26 Melissou,116 35,=VLOOKUP(B27;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΠΑΝΑΓΟΥΛΙΑ Ν.ΜΑΡΙΑ,Zografou,22 Grigoriou Kousidi,157 72,=VLOOKUP(B28;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,PAGRATI NOBACCO SHOP,Athina,122 Imittou,156 69,=VLOOKUP(B29;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΚΟΥΜΗ ΑΛΕΞΙΑ,Athina,2 Platia Gkizi,114 75,=VLOOKUP(B30;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΥΙΟΙ Κ Ε ΑΝΑΣΤΑΣΟΠΟΥΛΟΙ ΣΥΝ Ε. Ε,Gerakas,18 Evritanias,15344,=VLOOKUP(B31;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΔΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,Athina,10 Thivon,115 27,=VLOOKUP(B32;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΚΑΡΔΟΥΤΣΟΣ ΑΘΑΝΑΣΙΟΣ,Vironas,101 Agias Sofias,162 32,=VLOOKUP(B33;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΤΑΙΡΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ,Athina,50 Roumpesi,117 44,=VLOOKUP(B34;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΤΟ ΣΗΜΕΙΟ Ι. Κ. Ε,Athina,32 Agiou Thoma,115 27,=VLOOKUP(B35;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΨΥΧΙΑΣ ΣΠΥΡΙΔΩΝ,Galatsi,3 Karaiskaki,111 46,=VLOOKUP(B36;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,IQOS Corner Germanos Kaisariani,Kesariani,90 Leoforos Ethnikis Antistaseos,161 21,=VLOOKUP(B37;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,VAPE 84,Athina,84 Filolaou,116 33,=VLOOKUP(B38;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,Γ. ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ & ΣΥΝΕΡΓΑΤΕΣ ΕΕ,Kesariani,103 Formionos,161 21,=VLOOKUP(B39;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΚΑΡΑΙΝΔΡΟΥ ΜΑΡΙΑ ΑΝΔΡΟΥΛΑΚΗΣ ΖΑΧΑΡΙΑΣ Ο.,Galatsi,85 Tralleon,111 46,=VLOOKUP(B40;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΛΕΚΑΣ ΓΕΩΡΓΙΟΣ,Athina,13 Kakavaki,117 44,=VLOOKUP(B41;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΜΑΝΟΣ ΙΩΑΝΝΗΣ,BYRON,Formionos & Kristalli,162 31,=VLOOKUP(B42;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΣΑΚΑΡΗ ΕΥΤΥΧΙΑ,Galatsi,6 Ersis,111 46,=VLOOKUP(B43;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΣΩΤΗΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ - ΑΛΕΞΑΝΔΡΟΣ ΜΟΝ,Athina,8 Leoforos Vouliagmenis,117 43,=VLOOKUP(B44;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ERIGERT RUKO,Zografou,80 Grigoriou Afxentiou,157 71,=VLOOKUP(B45;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,IQOS Corner Germanos Galatsi 2,Galatsi,18 Leoforos Veikou,111 47,=VLOOKUP(B46;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
