,,
,,
,,
,,
,name,totalacquisition
,ΚΟΥΜΗΣ ΓΡΗΓΟΡΙΟΣ,1
,ΜΑΤΣΟΥΚΑΣ ΧΡΗΣΤΟΣ & ΣΙΑ ΕΕ,1
,ΣΤΑΣΙΝΟΣ Θ.ΠΑΝΑΓΙΩΤΗΣ,1
,ΨΑΡΡΟΥ ΕΜΜ. ΣΟΦΙΑ,1
,ERIGERT RUKO,0
,IQOS Corner Germanos Galatsi 2,0
,IQOS Corner Germanos Pagrati 2,0
,IQOS Corner Germanos Vyronas,0
,ΒΕΡΜΠΗ ΑΛΙΚΗ,0
,ΓΑΛΑΝΗΣ Β. - ΠΙΤΣΙΝΗΣ Η. ΟΕ,0
,ΚΑΤΣΙΓΙΑΝΝΗΣ ΑΘ. ΝΙΚΟΛΑΟΣ,0
,ΠΟΛΥΖΟΥ ΓΕΩΡΓΙΑ,0
,ΨΥΧΙΑΣ Κ. ΣΠΥΡΙΔΩΝ*,0
,A.O.V. 67 O.E.,0
,IQOS Corner Germanos N. Kosmos,0
,IQOS Corner Germanos Petralona,0
,UZO DILAVER NDRICIM,0
,ΛΙΤΗ ΕΥΑΓΓ. ΒΙΟΛΕΤΑ,0
,ΣΠΑΝΟΣ ΧΡΗΣΤΟΣ,0
,ΦΟΥΚΟΣ ΧΡΗΣΤΟΣ ΝΕΚΤΑΡΙΟΣ,0
